"","Up-regulated","Down-regulated"
"P1177-01-D639-U133Plus-2.CEL",0.268152992844433,-0.227592244904949
"P1178-01-D566-U133Plus-2.CEL",0.245475969567638,-0.217980869044108
"P0118-01-A103-U133Plus-2.CEL",0.364433682268479,-0.356886583749313
"P1181-01-D629-U133Plus-2.CEL",0.416780597916889,-0.348197012736727
"P1182-01-D617-U133Plus-2.CEL",0.365779953786128,-0.308212460400117
"P1183-01-D417-U133Plus-2.CEL",-0.197651670789485,0.278285465858761
"P1184-01-D637-U133Plus-2.CEL",0.385850079274363,-0.336663805675094
"P1185-01-D588-U133Plus-2.CEL",0.170843120311088,0.17716382451488
"P1186-01-D612-U133Plus-2.CEL",0.218969849246231,-0.242117083970301
"P1187-01-D657-U133Plus-2.CEL",0.304739629302736,-0.206098737819913
"P1188-01-D658-U133Plus-2.CEL",0.135630040935435,-0.169696322989448
"P1189-01-D662-U133Plus-2.CEL",0.347811080835604,-0.298627756471716
"P0119-01-A196-U133Plus-2.CEL",-0.187682453569873,0.234691856542118
"P1190-01-D723-U133Plus-2.CEL",-0.228489794343481,0.198741860133185
"P1191-01-D722-U133Plus-2.CEL",-0.381899229754458,0.4122388387514
"P1195-01-D624-U133Plus-2.CEL",0.184898550724638,-0.164299425508261
"P1196-01-D432-U133Plus-2.CEL",0.412078000861023,-0.398551398764037
"P0120-01-A284-U133Plus-2.CEL",-0.206114032764557,0.197075172847511
"P1201-01-D769-U133Plus-2.CEL",-0.210876324932929,0.30266321470953
"P0121-01-A289-U133Plus-2.CEL",0.320075607770152,-0.323486109810203
"P0122-01-A295-U133Plus-2.CEL",-0.223816891710974,0.213727630083519
"P1223-02-D452-U133Plus-2.CEL",-0.189146876563643,0.184831484428454
"P1224-01-D803-U133Plus-2.CEL",0.160610226542113,0.143981934116786
"P1225-01-D807-U133Plus-2.CEL",-0.272836681326519,0.320448626722408
"P1228-01-D816-U133Plus-2.CEL",-0.415853784842618,0.485293316723922
"P1231-01-D615-U133Plus-2.CEL",-0.209922166994182,0.203147264622492
"P1232-01-D646-U133Plus-2.CEL",0.135943959088003,-0.218053935091728
"P1235-01-D729-U133Plus-2.CEL",-0.117251199409522,0.20109782291834
"P1236-01-D742-U133Plus-2.CEL",0.427801883680874,-0.359144659683584
"P1239-01-D778A-U133Plus-2.CEL",0.342805170623411,-0.304058149536568
"P0124-01-A314-U133Plus-2.CEL",-0.171865116452952,0.148839927619281
"P1248-01-D777-U133Plus-2.CEL",-0.194721156564229,0.265698677069742
"P1259-01-D865-U133Plus-2.CEL",0.233305671344984,-0.213634945060378
"P1263-01-D755-U133Plus-2.CEL",0.246259131240423,-0.195129149360844
"P0127-01-A471-U133Plus-2.CEL",0.117383953210593,0.185109694946266
"P1271-01-D891-U133Plus-2.CEL",-0.201847951781898,0.115596789539127
"P1282-01-D962-U133Plus-2.CEL",-0.271452395723096,0.207813468579312
"P1283-01-D918-U133Plus-2.CEL",0.386042590949423,-0.330616996030084
"P1291-02-E002-U133Plus-2.CEL",-0.240393513979844,0.240625450271111
"P1295-01-E043-U133Plus-2.CEL",0.322441733209031,-0.329953485098003
"P1296-00-D980-U133Plus-2.CEL",-0.236328225955326,0.193600622714636
"P1305-01-E053-U133Plus-2.CEL",0.217095201949582,-0.249980634767982
"P1307-01-E064-U133Plus-2.CEL",0.32447175279461,-0.285506624222847
"P1308-01-E066-U133Plus-2.CEL",0.180922257521958,-0.13697399677736
"P1309-01-E068-U133Plus-2.CEL",0.201657952945908,-0.270681592829244
"P0131-01-A476-U133Plus-2.CEL",-0.186471881296941,0.155744599777844
"P1312-02-D995-U133Plus-2.CEL",-0.267368032484312,0.297647331240766
"P1313-02-D975-U133Plus-2.CEL",0.285505890990455,-0.197159755149299
"P1314-00-D963-U133Plus-2.CEL",0.418031800444914,-0.38591566236078
"P1316-00-D934-U133Plus-2.CEL",-0.405013468838007,0.430770521424884
"P1320-01-E088-U133Plus-2.CEL",-0.35627640036731,0.269937326166206
"P1321-00-E004-U133Plus-2.CEL",-0.256019219569016,0.215198002426694
"P1323-01-E099-U133Plus-2.CEL",-0.238555852163778,0.246259852687068
"P1331-02-E169-U133Plus-2.CEL",0.110886078657936,-0.204094328077666
"P1336-02-E158-U133Plus-2.CEL",0.294417095091911,-0.260217141760885
"P1337-01-E200-U133Plus-2.CEL",-0.211132420091325,-0.132724596796957
"P1338-01-E237-U133Plus-2.CEL",-0.189261392479207,0.220469380288097
"P1339-01-E247-U133Plus-2.CEL",0.30903785264506,-0.229224962382378
"P1341-01-E149-U133Plus-2.CEL",0.349067336156181,-0.321674709869934
"P1350-01-E288-U133Plus-2.CEL",-0.289028667854841,0.301452680968013
"P1354-01-E286-U133Plus-2.CEL",0.187637647239381,-0.158559214249965
"P1359-01-E293-U133Plus-2.CEL",0.308160445012986,-0.285115025420151
"P1361-01-D981-U133Plus-2.CEL",-0.277302132745677,0.234302090511206
"P1362-01-E229-U133Plus-2.CEL",-0.284262506345921,0.28002154861769
"P1363-01-E262-U133Plus-2.CEL",-0.236939081780117,0.197719418996253
"P1364-01-E278-U133Plus-2.CEL",-0.44566125202578,0.424218955044806
"P1365-01-E165-U133Plus-2.CEL",0.588540273582024,-0.508485321993954
"P1366-01-E227-U133Plus-2.CEL",-0.238825697937868,0.239908435275137
"P1367-01-E264-U133Plus-2.CEL",0.566287013034429,-0.504842100035086
"P1368-01-E276-U133Plus-2.CEL",-0.377149242838898,0.332953709388119
"P1371-01-E336-U133Plus-2.CEL",0.161819724684141,0.139497227879147
"P1372-01-E294+299-U133Plus-2.CEL",0.217512545749538,-0.209050510584547
"P1374-01-E347-U133Plus-2.CEL",0.368291033353504,-0.32979720120645
"P1375-01-E113-U133Plus-2.CEL",0.286125521494649,-0.208046040880488
"P0138-01-A293-U133Plus-2.CEL",0.245760341289556,-0.168152170125029
"P1383-01-E337-U133Plus-2.CEL",-0.150683160858015,0.219482273452313
"P1384-01-E385-U133Plus-2.CEL",-0.275346963578626,0.242295266364868
"P1389-00-E033-U133Plus-2.CEL",-0.24335371246203,0.256397611481446
"P1390-00-E300-U133Plus-2.CEL",0.197523724904533,-0.181338572798883
"P1391-00-E358-U133Plus-2.CEL",0.30240108014852,-0.251917587546471
"P1400-01-E435-U133Plus-2.CEL",0.232970254048545,-0.189775486679578
"P1401-01-E437-U133Plus-2.CEL",0.231584224848101,-0.167599102309108
"P1402-01-E441-U133Plus-2.CEL",0.217581020883567,-0.23927559811715
"P1403-01-E454-U133Plus-2.CEL",-0.228045511347604,0.240455291422137
"P1405-01-E440-U133Plus-2.CEL",-0.163108667630171,0.183386124683917
"P1407-01-E466-U133Plus-2.CEL",-0.299880365800781,0.302397045257248
"P1408-01-E461-U133Plus-2.CEL",-0.156819847814828,0.197043792883656
"P1409-01-E433-U133Plus-2.CEL",0.328291662214624,-0.263779612887607
"P1412-01-E507-U133Plus-2.CEL",0.229402383456011,-0.242440518743321
"P1424-02-E484-U133Plus-2.CEL",-0.259496487578981,0.249706683745202
"P1432-01-E634-U133Plus-2.CEL",-0.249602060863638,0.237032198341185
"P1434-01-E537-U133Plus-2.CEL",0.211862786020567,-0.178506045086187
"P1437-01-E510-U133Plus-2.CEL",0.107265504303686,0.227032909876613
"P1438-01-E539-U133Plus-2.CEL",0.272421829024285,-0.270032643543272
"P1439-01-E614-U133Plus-2.CEL",0.190839665213869,-0.220756320227145
"P0144-01-A488-U133Plus-2.CEL",0.306125615672333,-0.274570850332284
"P1441-01-E567-U133Plus-2.CEL",-0.471094182314532,0.409749874188381
"P1442-01-E575-U133Plus-2.CEL",0.359554385442637,-0.308256406291542
"P1443-01-E544-U133Plus-2.CEL",0.17812101910828,-0.226924022520951
"P1444-01-E568-U133Plus-2.CEL",0.316301752937202,-0.298731766946015
"P1445-01-E571-U133Plus-2.CEL",0.36990456145444,-0.322810660320241
"P1446-01-E504-U133Plus-2.CEL",0.283091522484828,-0.216183845599313
"P1447-01-E553-U133Plus-2.CEL",-0.199922616701896,-0.149228354748483
"P1448-01-E561-U133Plus-2.CEL",0.18198817949383,-0.173101484884981
"P1450-01-E503-U133Plus-2.CEL",-0.355415802376014,0.324698634569946
"P1451-01-E558-U133Plus-2.CEL",-0.289521731541282,0.192078098367423
"P1453-01-E515-U133Plus-2.CEL",0.424362423033263,-0.357281868652046
"P1454-01-E513-U133Plus-2.CEL",-0.247501853080014,0.250608380850599
"P1455-01-E588-U133Plus-2.CEL",0.399324987909676,-0.358739036255814
"P1456-01-E388-U133Plus-2.CEL",0.229557697336471,-0.195624252310611
"P1458-01-E488-U133Plus-2.CEL",0.220134986121145,-0.219006039531408
"P1463-01-E600-U133Plus-2.CEL",0.289979966372124,-0.243262924779579
"P1465-01-E735-U133Plus-2.CEL",0.173938835374797,-0.195339564505272
"P1477-01-E681-U133Plus-2.CEL",0.286814008445357,-0.299584247621321
"P1480-01-E701-U133Plus-2.CEL",0.374941962452879,-0.371714640348895
"P1492-01-E680-U133Plus-2.CEL",0.42630652230922,-0.392154431476446
"P1502-01-E768-U133Plus-2.CEL",0.203442977975728,-0.2336450388852
"P1503-01-E387-U133Plus-2.CEL",-0.2051892801346,0.256812534338595
"P1507-01-E797-U133Plus-2.CEL",0.270988391750253,-0.274104750609727
"P1509-01-E814-U133Plus-2.CEL",0.353844313440263,-0.314468453982904
"P1529-01-E818-U133Plus-2.CEL",-0.260544396470809,0.249344743473583
"P0154-01-A533-U133Plus-2.CEL",0.405731386381081,-0.366529151671609
"P0155-01-A537-U133Plus-2.CEL",0.227618384401114,-0.19398296152199
"P1550-01-E679-U133Plus-2.CEL",-0.168017382290795,0.220852362859063
"P1558-02-E821-U133Plus-2.CEL",-0.344077379861442,0.305014392998735
"P1562-01-E829-U133Plus-2.CEL",-0.258434879821129,0.239889444769077
"P1569-01-E902-U133Plus-2.CEL",-0.161407031280283,0.184122474904392
"P0157-01-A547-U133Plus-2.CEL",0.343224343224343,-0.325165700462196
"P1571-01-E644-U133Plus-2.CEL",-0.190389628126585,0.200444230840214
"P1579-01-E903-U133Plus-2.CEL",-0.221140399048142,0.144268325288941
"P0158-01-A554-U133Plus-2.CEL",-0.231772848889061,0.245466472771312
"P1580-01-E714-U133Plus-2.CEL",0.29806276712232,-0.192398129289875
"P1581-01-E800-U133Plus-2.CEL",0.140027055192593,0.190228470174999
"P1583-01-E853-U133Plus-2.CEL",0.455433464407776,-0.431356166866873
"P1586-01-E742-U133Plus-2.CEL",-0.263365688571535,0.231408062057845
"P1587-01-E921-U133Plus-2.CEL",0.335888003341106,-0.266287602502967
"P1589-01-E584-U133Plus-2.CEL",-0.142761998041137,-0.18461365381755
"P1590-01-E719-U133Plus-2.CEL",-0.270999173586242,0.300232223464025
"P1591-01-E712-U133Plus-2.CEL",0.223867065299172,-0.233198695974359
"P1592-01-E710-U133Plus-2.CEL",-0.263107971745712,0.307111166101345
"P1593-01-E738-U133Plus-2.CEL",-0.298987817986385,0.335069486776562
"P1594-01-E747-U133Plus-2.CEL",-0.257961585433552,0.223122073167833
"P1595-01-E769-U133Plus-2.CEL",-0.312176513160401,0.335076334340071
"P1596-01-E739-U133Plus-2.CEL",-0.182542970564635,0.266089478005899
"P1597-01-E810-U133Plus-2.CEL",-0.187689801648728,-0.164950281428552
"P1598-01-E812-U133Plus-2.CEL",0.151630112625963,-0.1830604977107
"P1599-01-E877-U133Plus-2.CEL",-0.243358323426775,0.229185264501686
"P1600-01-E869-U133Plus-2.CEL",0.218435923507098,-0.252662812941071
"P1601-01-E893-U133Plus-2.CEL",0.353979606414515,-0.286538955017524
"P1602-01-E914-U133Plus-2.CEL",-0.151878520647994,0.151555687900375
