streed_initial_loss,streed_initial_loss01,streed_super_loss,streed_super_loss01,num_leaves,num_leaves01
0.701479987,0.672104496,0.701479987,0.672104496,7,3
0.70242141,0.715909091,0.70242141,0.715909091,7,4
0.676283186,0.678820059,0.676283186,0.678820059,7,4
0.749595076,0.697170932,0.749595076,0.697170932,7,4
0.65012205,0.654422876,0.65012205,0.654422876,7,4
0.682535609,0.666367253,0.693442833,0.666367253,7,4
0.708876142,0.676064554,0.708876142,0.676064554,7,4
0.693275821,0.698770976,0.69764831,0.698770976,7,4
0.594951787,0.649404424,0.634543392,0.649404424,8,4
0.671523248,0.668209552,0.671523248,0.668209552,7,4
0.740948276,0.696605603,0.740948276,0.696605603,7,3
0.644283664,0.665630232,0.665929204,0.665630232,8,4
0.71683857,0.651235308,0.71683857,0.651235308,8,4
0.652478077,0.702581535,0.652478077,0.702581535,7,4
0.656402029,0.678759963,0.681658213,0.678759963,8,3
0.64788452,0.654006969,0.64788452,0.654006969,8,3
0.644807156,0.671410316,0.641554368,0.671410316,7,4
0.680921794,0.69348659,0.693542934,0.69348659,8,3
0.656575303,0.64511508,0.656575303,0.64511508,7,4
0.675422139,0.664882463,0.675422139,0.664882463,8,3
0.710448528,0.673563809,0.710448528,0.673563809,7,4
0.696380697,0.683646113,0.696782842,0.683646113,7,3
0.751750621,0.712333409,0.736616219,0.712333409,8,4
0.636448272,0.666181776,0.636448272,0.666181776,7,3
0.670343137,0.677929505,0.663923903,0.677929505,7,3
0.654960851,0.645436485,0.654960851,0.645436485,7,4
0.671330878,0.67364545,0.671330878,0.67364545,7,3
0.703760109,0.70654343,0.703760109,0.70654343,8,4
0.67098988,0.707514249,0.689135745,0.707514249,8,4
0.701088845,0.69327001,0.701088845,0.69327001,7,3
0.714744276,0.713460304,0.714744276,0.713460304,7,4
0.634825161,0.670863493,0.634825161,0.670863493,7,3
0.698782839,0.701132803,0.695046999,0.701132803,8,3
0.681360977,0.688494304,0.687519245,0.688494304,8,3
0.665137615,0.697144624,0.665137615,0.697144624,7,3
0.675402123,0.660684976,0.675402123,0.660684976,7,4
0.664129454,0.664242219,0.664129454,0.664242219,7,3
0.70442199,0.71436332,0.711592786,0.71436332,7,4
0.736496815,0.702929936,0.736496815,0.702929936,7,4
0.713217372,0.698482163,0.713217372,0.698482163,7,4
0.652576215,0.666504334,0.681601247,0.666504334,6,4
0.629970461,0.668711656,0.629970461,0.668711656,6,4
