"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ECM2",68.0006348900029,-2.50590494850793,0.647677340408192,-3.86906379483433,0.000109254055719985,0.00408803498614801
"EDIL3",40.3959371251518,-3.53238012595031,0.976279891203397,-3.6182043262165,0.000296654155610684,0.00810851310060043
"EEF1D",5523.15586406862,-0.859671675298166,0.211267197993263,-4.06912044777335,4.7190948021718e-05,0.00236409749249295
"EGFL7",18.2284727218329,-3.09914667332522,0.715669071411727,-4.33041862101411,1.48826140280712e-05,0.00110787869449396
"EML1",85.9397385716961,-3.1504366645482,0.66687561161574,-4.72417435826624,2.31052122436626e-06,0.000333819039875984
"ENPEP",143.201785419142,-2.2632199456691,0.630676737455111,-3.58855783202276,0.000332512239376406,0.00873679853352177
"EPB41L4A-AS1",1244.62940046824,-1.34109419176914,0.363921507679166,-3.68511935532937,0.000228595489652933,0.00679249833225259
"ERRFI1",189.761312293386,-2.26840489543061,0.552332719454077,-4.1069536812389,4.00911585475875e-05,0.00210710323175687
"ESM1",77.8087755319263,-2.68051768649604,0.71642851615902,-3.74150054895508,0.000182924777987982,0.00578353745837187
"EVC",75.7634251078691,-3.70747080408003,0.87571435039316,-4.23365313405625,2.29925491192485e-05,0.00146708598502994
"FAM189A2",44.9465862774234,-3.2525878285554,0.884686390459896,-3.67654330803548,0.000236415734418278,0.00691192947009064
"FARP1",723.302387025306,-4.98541793481265,0.935146828639594,-5.33116060722271,9.7587063440606e-08,4.60522966440335e-05
"FAT1",35.8479436047169,-2.57949761907558,0.644249007679939,-4.00388295259442,6.23112029829423e-05,0.00285422978902974
"FAT3",27.2680774048709,-2.66536731300339,0.667193944240191,-3.99489134458309,6.47239292921141e-05,0.0029085619036965
"FAXDC2",152.396604561175,-2.73422507649589,0.677049322021632,-4.03844297241395,5.38071706549802e-05,0.00258858041894396
"FBLN5",10.3451656437082,-2.66662090184607,0.720800898894216,-3.6995249394624,0.000216003414537142,0.00648188464250483
"FBXL22",206.048566798025,-2.01327699526602,0.556157445112647,-3.61997670436336,0.000294629540403321,0.00809038658195882
"FGFR1",56.0346254994856,-2.51141761217138,0.631156333425893,-3.9790737716906,6.91842727823949e-05,0.0030098468912628
"FILIP1L",295.547278794841,-5.06173585919881,0.926968238750792,-5.46052782349927,4.7472108126264e-08,2.9768285733659e-05
"FKBP1B",11.4261957292239,-2.16539793309812,0.521396278921768,-4.15307515729897,3.2803693945582e-05,0.00184685812507866
"FLRT2",23.6183107332467,-2.98940228870068,0.710890099778515,-4.20515391849184,2.60904538807595e-05,0.00158151634607204
"FLT1",37.9512984063002,-2.77299479656935,0.626486034884226,-4.42626753377161,9.58776019004409e-06,0.000838237591615153
"FMN1",3007.16151418748,-2.50785928521444,0.543281364242433,-4.61613346283554,3.90955575982318e-06,0.000447140072279148
"FN1",602.181470821589,-2.69889517125343,0.582827860344225,-4.63069004570136,3.64449096851216e-06,0.000430357586119439
"FP671120.3",7779625.18542611,-18.9854807410032,2.00598422004308,-9.46442177924783,2.95189685776543e-21,5.36802443584643e-17
"FRMPD3",277.571025781285,-5.1952158153695,0.974898397260098,-5.32898179950894,9.8764892445274e-08,4.60522966440335e-05
"FST",29.1449030931447,-2.87691222012372,0.727912709059783,-3.95227639841557,7.74112522518184e-05,0.00324360281612746
"FXYD7",39.8911565943651,-2.09177427926481,0.578218178695194,-3.61762109241376,0.000297323237227818,0.00810851310060043
"GABBR1",85.6950063599095,-2.28215619487508,0.608799231395688,-3.74861871892179,0.000177811164680055,0.00565296508689999
"GDF6",33.1671691195248,-4.57091441961372,0.964382112983721,-4.73973371973032,2.13999263867522e-06,0.000332515305514546
"GFI1B",16.0247303426536,-2.34950482784014,0.646233294742081,-3.63569139342759,0.000277236067823,0.00778010981061756
"GFRA1",69.596870685204,-2.88272786995286,0.800899218638418,-3.59936406837016,0.00031899632737739,0.00851827931476922
"GGT5",126.626864393299,-2.82195084945956,0.599775169003287,-4.70501447092101,2.53847947839722e-06,0.000337268502501299
"GJA1",155.853828328123,-2.93606959950904,0.665544148809558,-4.41153243516709,1.02641574570895e-05,0.000866822904871092
"GLI3",448.469393025918,-4.12206260988531,0.759068999559312,-5.4304188582045,5.62219380242226e-08,3.29805142893706e-05
"GNG11",187.147665557784,-3.565626248356,0.817900397906438,-4.35948711784816,1.30367627558657e-05,0.000991939459060325
"GP1BA",74.8675965916118,-2.76816459226324,0.761692640736894,-3.6342278292005,0.000278814408420755,0.00778286628031808
"GPC4",16.4731019157388,-2.65586045972873,0.67839604296243,-3.91491148464116,9.04373796865668e-05,0.00355974837575805
"GPM6B",148.257326490689,-2.81270725629831,0.607039002729349,-4.63348688247692,3.59557552530808e-06,0.000427356476651813
"GPR176",504.774839205185,-3.13564289910099,0.664536914025001,-4.71853832785431,2.37545218203934e-06,0.000333819039875984
"GPR183",79.1717819873784,-2.40419969902069,0.61532700285415,-3.90719030347926,9.33756093451213e-05,0.00362828088876288
"GPR88",71.1942325767098,-2.62687406813267,0.62759635143449,-4.18561080243449,2.84400292708212e-05,0.00168157275159462
"GPRC5B",39.6278110575526,-3.33576835347964,0.710357285224924,-4.69590222112443,2.65432498834101e-06,0.000342332623496321
"GPX8",20.7309871280703,-2.6698510028054,0.728260417670747,-3.66606633839115,0.000246310055116832,0.00713240183487196
"GRB10",9.61068644957329,-2.50576315506545,0.693479442736086,-3.61332002168528,0.000302301214085457,0.00818091832229137
"GSTM3",87.1771473073651,-2.58972306032237,0.703883857870857,-3.6791908656009,0.00023397511474294,0.0068729549875975
"GYPA",54.4839195779877,-2.16289526334173,0.541441552244377,-3.99469758901236,6.47768804507606e-05,0.0029085619036965
"HLA-DRB5",69.7173527989491,-3.48052734764763,0.868606176555253,-4.00702578635904,6.14881521950789e-05,0.00283078999409496
"HP",34.8129109669637,-3.21259621517853,0.803037970467844,-4.00055331543899,6.31945467854635e-05,0.00288180962664964
"IGF2",710.498841945476,-2.68872262318211,0.664533329115918,-4.04603126040214,5.20932795566595e-05,0.00253293125330977
"IGFBP4",120.182641233819,-2.51957581473315,0.597929452132628,-4.21383460163504,2.51071177880327e-05,0.00154770487110296
"IGFBP5",699.696000268736,-3.07352384826149,0.637296238105832,-4.82275536004512,1.4158858706257e-06,0.000265442108838437
"IGSF1",53.8524045328802,-3.22123030994822,0.821799798691773,-3.91972633125016,8.86495753170548e-05,0.0035430604992102
"IL10RB-DT",454.087055450334,-4.65023788027304,0.944366301556607,-4.9241887100461,8.47110592639632e-07,0.000199141960367738
"INO80B-WBP1",15.6881256160498,-4.02288519925482,1.03583594023343,-3.88370884133276,0.000102875089938016,0.00387493073904787
"IRS2",306.611200451902,-2.16736689909969,0.610359305689476,-3.55096887832551,0.000383815799273445,0.0097142720142252
"ITIH5",234.755508054947,-3.02024578599699,0.699217312760815,-4.31946653905313,1.56406820360298e-05,0.0011377032113008
"ITK",51.7322397225607,-2.58958260722436,0.705718903501802,-3.66942502797468,0.000243096616853139,0.00706184021960755
"ITPRIP",3453.11814469379,-1.23592751696901,0.326797728213602,-3.78193423719635,0.000155614477532629,0.00518063824278478
"JAM2",36.335573197719,-3.07488616351007,0.7424320546131,-4.14163982334042,3.44831553521449e-05,0.00188311165188815
"JAML",40.2278981813845,-2.41501832460932,0.630570337895825,-3.8298952225823,0.000128197832719607,0.00455032797038513
"KBTBD11",20.4446235636676,-3.07345195951228,0.746007280044379,-4.11986858805111,3.79088545588e-05,0.00201570912325082
"KCNA5",161.491421316039,-4.90701453499877,1.15304944678381,-4.25568439296843,2.08410520760455e-05,0.00138825835898493
"KCNAB1",516.833949621629,-4.84181775588116,0.949315490734961,-5.1003252376432,3.39070330480049e-07,0.000104508372199656
"KCND3",61.833085444782,-3.89973422262154,0.923796862716887,-4.22141964322375,2.42768500091683e-05,0.0015170945615695
"KIT",1779.25115106236,-2.75142300649746,0.707726262446465,-3.88769380549246,0.000101201176625788,0.00383404874362492
