"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATAD5",629.938815574266,1.51976052233985,0.334893329741557,4.53804357200149,5.67785305198983e-06,0.000986114573449113
"ATIC",2035.14008854203,0.987181334209714,0.238708974866471,4.13550154434672,3.54180232941411e-05,0.00306771912980863
"ATP7A",1055.96401310618,0.922955204615297,0.198126853245128,4.6584054079403,3.18668173721601e-06,0.000714881414884392
"ATPAF2",357.10528295946,1.14625447725916,0.279219888015538,4.10520355625734,4.03959011888122e-05,0.00336746301177722
"AURKA",140.214075619926,2.04329362285591,0.501900523290905,4.07111275648462,4.67890930225593e-05,0.00369387782925212
"BARD1",1473.96694979786,0.833478956521713,0.224208256072523,3.71743204787301,0.000201258095319656,0.00823396023155716
"BRCA1",536.095107797797,1.68372024695586,0.396334316066382,4.24823230969951,2.15463903015622e-05,0.00222428898950313
"BRD8",734.608566418786,1.14753037097819,0.253559464482446,4.52568541789784,6.0200073250651e-06,0.000991386850650349
"BRIP1",308.313024903956,1.84180999164337,0.43237811499049,4.25972066528825,2.04682539740284e-05,0.00213912420271795
"BTN2A2",1111.4509325682,1.66998507476267,0.370975735448743,4.5016018978778,6.7443217564145e-06,0.0010413232791904
"BUB1",1088.69860723,2.12235022050848,0.355372277425353,5.97218847762902,2.34091857523945e-09,8.11380071573868e-06
"C18orf54",150.465624740148,1.66558163491284,0.456433133391725,3.64912516875365,0.00026313487762533,0.00981649192578722
"CABLES2",453.153160728318,1.04930515318517,0.271983855958776,3.8579685161321,0.000114333371148769,0.00593597467285829
"CACNB1",68.8809057400123,2.88340597704537,0.644580121957345,4.47330887010533,7.70184011601721e-06,0.00109403098480001
"CASP2",1799.32317371764,0.914624319872111,0.219244638408436,4.17170666754566,3.02326674500298e-05,0.00282532233285647
"CBX1",726.921976591679,0.993494203666577,0.256520269797643,3.87296568980806,0.000107518968720455,0.0057158886485042
"CCNA2",326.303420392436,2.06992877940266,0.529362445293329,3.91022974486919,9.22083761696156e-05,0.0052311281095306
"CCNB1",369.602806224572,2.15901896536596,0.475924678343809,4.53647197468143,5.72030868806368e-06,0.000986114573449113
"CCNB2",256.77345447235,2.0238758952768,0.530036555475437,3.81837040175729,0.00013433612444322,0.00642665482797929
"CCR1",926.232736938722,2.79191298453503,0.685976110602665,4.06998573475422,4.70160165246102e-05,0.00369387782925212
"CD3E",439.154880300991,2.93031798406351,0.709490821287521,4.13017039282598,3.62494464983171e-05,0.00310939696630009
"CDC20",220.526044720935,2.16576072890599,0.553818667470905,3.91059539180262,9.20688895076285e-05,0.0052311281095306
"CDC23",754.788246489892,0.986793584971055,0.25939729903499,3.80417833432393,0.000142275657446582,0.00655709039807997
"CDC25B",1397.84997086699,1.48596928820304,0.300978063477201,4.93713485639329,7.92786525891246e-07,0.000306015598994021
"CDC6",552.323231707432,1.33852815936925,0.360461918418057,3.7133691271566,0.000204518248145959,0.00829773876633145
"CDCA8",213.024637710495,1.8867887979021,0.504125642638207,3.74269554714197,0.000182056757128041,0.00773349229561125
"CDK5RAP2",1774.37948650018,0.792835748999635,0.20396745684617,3.88706983583947,0.000101461570967169,0.00554323585874787
"CDKN3",243.272250187556,1.87163774405806,0.448095530388934,4.176872155885,2.95545021489835e-05,0.00277655947173202
"CDT1",282.785505303901,2.02441367801964,0.535004446756128,3.7839193492581,0.000154377867344142,0.00688726988081052
"CENPE",459.067556805086,1.8478638367364,0.465915388529437,3.96609316247052,7.30603152202056e-05,0.00464967368118269
"CENPF",1302.95469734201,1.82958887615853,0.489860843097987,3.73491554170325,0.000187778195550476,0.00789201161250012
"CENPH",290.173651825558,1.40137817634078,0.332894549202032,4.20967594603146,2.55737222273968e-05,0.0025227056214981
"CENPI",98.2562215285421,2.03401674985877,0.549192638690775,3.70364896861632,0.000212520287118542,0.00851808175638112
"CENPK",200.248242230395,1.82076918260849,0.476124244942724,3.82414716735864,0.000131225518850692,0.00639662745281977
"CENPN",394.629333912942,1.0406055760216,0.276343768389789,3.76561983678893,0.000166136415236824,0.00729443761258205
"CENPO",336.226682666915,1.44911585408655,0.397912414378817,3.64179603782599,0.000270742547039644,0.0099530117292669
